 CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -27.121176          ---           -386.236717       -0.005056        ---         -386.241774          0.53                1.37         
 CONF2        -27.121175          ---           -386.236757       -0.005006        ---         -386.241763          0.53                1.36         
 CONF3        -27.121161          ---           -386.236638       -0.005160        ---         -386.241799          0.51                1.41         
 CONF4        -27.121158          ---           -386.236679       -0.004883        ---         -386.241563          0.66                1.10         
 CONF5        -27.121154          ---           -386.236504       -0.004954        ---         -386.241457          0.73                0.98         
 CONF6        -27.121151          ---           -386.236578       -0.005184        ---         -386.241762          0.54                1.36         
 CONF7        -27.121158          ---           -386.236585       -0.004916        ---         -386.241501          0.70                1.03         
 CONF8        -27.121151          ---           -386.236796       -0.004835        ---         -386.241631          0.62                1.18         
 CONF9        -27.121151          ---           -386.236455       -0.004973        ---         -386.241429          0.74                0.95         
CONF10        -27.121140          ---           -386.236847       -0.004817        ---         -386.241664          0.60                1.22         
CONF11        -27.121139          ---           -386.236908       -0.004733        ---         -386.241641          0.61                1.19         
CONF12        -27.121130          ---           -386.236977       -0.004714        ---         -386.241690          0.58                1.26         
CONF13        -27.121125          ---           -386.236954       -0.004765        ---         -386.241719          0.56                1.30         
CONF14        -27.121121          ---           -386.237024       -0.004668        ---         -386.241692          0.58                1.26         
CONF15        -27.121102          ---           -386.237129       -0.004629        ---         -386.241757          0.54                1.35         
CONF16        -27.121107          ---           -386.237123       -0.004653        ---         -386.241777          0.53                1.38         
CONF17        -27.121077          ---           -386.237246       -0.004583        ---         -386.241829          0.49                1.46         
CONF18        -27.121040          ---           -386.236246       -0.005234        ---         -386.241479          0.71                1.01         
CONF19        -27.121028          ---           -386.236150       -0.005192        ---         -386.241342          0.80                0.87         
CONF20        -27.121002          ---           -386.236235       -0.005263        ---         -386.241498          0.70                1.03         
CONF21        -27.120981          ---           -386.236917       -0.004915        ---         -386.241832          0.49                1.46         
CONF22        -27.120967          ---           -386.236957       -0.004894        ---         -386.241851          0.48                1.49         
