CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -27.112492          0.08          -385.452554          0.91           -3.167125         -385.457601          0.75                1.71         
CONF2        -27.112494          0.07          -385.452654          0.85           -3.162892         -385.457694          0.70                1.88         
CONF3        -27.112485          0.08          -385.452592          0.88           -3.163338         -385.457633          0.73                1.76         
CONF4        -27.112576          0.02          -385.453457          0.34           -3.083456         -385.458371          0.27                3.85         
CONF5        -27.112592          0.01          -385.453634          0.23           -3.079643         -385.458542          0.16                4.62         
CONF6        -27.112524          0.06          -385.453137          0.54           -3.122486         -385.458113          0.43                2.93         
CONF7        -27.112612          0.00          -385.453707          0.18           -3.060402         -385.458584          0.14                4.83         
CONF8        -27.112584          0.02          -385.453766          0.15           -3.059289         -385.458641          0.10                5.13         
CONF9        -27.112292          0.20          -385.452578          0.89           -3.218763         -385.457708          0.69                1.91         
CONF10       -27.111993          0.39          -385.451170          1.78           -3.393666         -385.456578          1.40                0.58         
CONF11       -27.112131          0.30          -385.451524          1.55           -3.305034         -385.456791          1.26                0.72         
CONF12       -27.111995          0.39          -385.450933          1.93           -3.394656         -385.456343          1.54                0.45         
CONF13       -27.111995          0.39          -385.450920          1.93           -3.394678         -385.456330          1.55                0.44         
CONF14       -27.112369          0.15          -385.452664          0.84           -3.067732         -385.457552          0.78                1.62         
CONF15       -27.111742          0.55          -385.450148          2.42           -3.438745         -385.455628          1.99                0.21         
CONF16       -27.111775          0.52          -385.450367          2.28           -3.425299         -385.455825          1.87                0.26         
CONF17       -27.112195          0.26          -385.452538          0.92           -3.103473         -385.457484          0.83                1.51         
CONF18       -27.112063          0.34          -385.451609          1.50           -3.180029         -385.456677          1.33                0.64         
CONF19       -27.112313          0.19          -385.454001          0.00           -3.012590         -385.458802          0.00                6.08         
CONF20       -27.112000          0.38          -385.452829          0.74           -3.206579         -385.457939          0.54                2.44         
CONF21       -27.112001          0.38          -385.453016          0.62           -3.206022         -385.458125          0.42                2.97         
CONF22       -27.112010          0.38          -385.453046          0.60           -3.194681         -385.458137          0.42                3.01         
CONF23       -27.112001          0.38          -385.452965          0.65           -3.207105         -385.458076          0.46                2.82         
CONF24       -27.112160          0.28          -385.453107          0.56           -3.083016         -385.458020          0.49                2.66         
CONF25       -27.111981          0.40          -385.452764          0.78           -3.216881         -385.457890          0.57                2.32         
CONF26       -27.111963          0.41          -385.452545          0.91           -3.225439         -385.457685          0.70                1.86         
CONF27       -27.112164          0.28          -385.452787          0.76           -3.075317         -385.457688          0.70                1.87         
CONF28       -27.112137          0.30          -385.452445          0.98           -3.071039         -385.457339          0.92                1.29         
CONF29       -27.112297          0.20          -385.453905          0.06           -2.983717         -385.458660          0.09                5.24         
CONF30       -27.112152          0.29          -385.452595          0.88           -3.059231         -385.457470          0.84                1.48         
CONF31       -27.112199          0.26          -385.452958          0.65           -3.019104         -385.457770          0.65                2.04         
CONF32       -27.112143          0.29          -385.452816          0.74           -3.039328         -385.457659          0.72                1.81         
CONF33       -27.112170          0.28          -385.452900          0.69           -3.031255         -385.457731          0.67                1.96         
CONF34       -27.112213          0.25          -385.453210          0.50           -2.993538         -385.457981          0.52                2.55         
CONF35       -27.112147          0.29          -385.452698          0.82           -3.043995         -385.457549          0.79                1.61         
CONF36       -27.111767          0.53          -385.452556          0.91           -3.212686         -385.457676          0.71                1.85         
CONF37       -27.111631          0.62          -385.451437          1.61           -3.285328         -385.456672          1.34                0.64         
CONF38       -27.111637          0.61          -385.451472          1.59           -3.278097         -385.456696          1.32                0.65         
CONF39       -27.111641          0.61          -385.451486          1.58           -3.274888         -385.456705          1.32                0.66         
CONF40       -27.111352          0.79          -385.451667          1.46           -3.440116         -385.457149          1.04                1.06         
CONF41       -27.111186          0.89          -385.450558          2.16           -3.537430         -385.456196          1.64                0.38         
CONF42       -27.111396          0.76          -385.451316          1.68           -3.356827         -385.456666          1.34                0.63         
CONF43       -27.111579          0.65          -385.451895          1.32           -3.121496         -385.456870          1.21                0.79         
CONF44       -27.111498          0.70          -385.451372          1.65           -3.161653         -385.456411          1.50                0.48         
CONF45       -27.111760          0.53          -385.453007          0.62           -2.995773         -385.457781          0.64                2.06         
CONF46       -27.111614          0.63          -385.451929          1.30           -3.071557         -385.456824          1.24                0.75         
CONF47       -27.111700          0.57          -385.452876          0.71           -3.021380         -385.457690          0.70                1.87         
CONF48       -27.111630          0.62          -385.451904          1.32           -3.063792         -385.456786          1.27                0.72         
CONF49       -27.111428          0.74          -385.450828          1.99           -3.164773         -385.455872          1.84                0.27         
CONF50       -27.111540          0.67          -385.451775          1.40           -3.093953         -385.456705          1.32                0.66         
CONF51       -27.111550          0.67          -385.451771          1.40           -3.089903         -385.456695          1.32                0.65         
CONF52       -27.111513          0.69          -385.451918          1.31           -3.080778         -385.456827          1.24                0.75         
CONF53       -27.111512          0.69          -385.451906          1.32           -3.064528         -385.456789          1.26                0.72         
CONF54       -27.111560          0.66          -385.452368          1.02           -3.002346         -385.457153          1.03                1.06         
CONF55       -27.111565          0.66          -385.452355          1.03           -3.010383         -385.457153          1.03                1.06         
CONF56       -27.111584          0.64          -385.452621          0.87           -2.984850         -385.457378          0.89                1.35         
CONF57       -27.111000          1.01          -385.451363          1.66           -3.268050         -385.456571          1.40                0.57         
CONF58       -27.110786          1.15          -385.450954          1.91           -3.393675         -385.456363          1.53                0.46         
CONF59       -27.110587          1.27          -385.449763          2.66           -3.506019         -385.455350          2.17                0.16         
CONF60       -27.110860          1.10          -385.451085          1.83           -3.342563         -385.456411          1.50                0.48         
CONF61       -27.110569          1.28          -385.450642          2.11           -3.026033         -385.455464          2.09                0.18         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -385.4528912    -385.4578518     <<==part0==
----------------------------------------------------------------------------------------------------
